u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,K,beat_cv,s_det,f_rej
base,True,0.3,3.0,A7,AP,T1,0.0054089789585981,0.0527319368003975,0.0051717633822464,0.003824744824692,0.2669869540749441,2.8258541898687044,1.73117246802525,1.7104693325095874,c,,,,
base,True,0.3,5.0,A7,AP,T1,0.0051769893394543,0.0506527148837101,0.0048814893432257,0.0036607025716172,0.2649471788689436,2.8958109452476064,1.6584004547920297,1.6371077735086408,c,,,,
base,True,0.3,7.0,A7,AP,T1,0.0050627892610176,0.0497146744271653,0.0045989597119114,0.0035799505179813,0.2654048778721439,2.944559707031696,1.6228362910382623,1.6009945378256598,c,,,,
base,True,0.3,10.0,A7,AP,T1,0.0050084822442921,0.0491040260046381,0.0048094812828038,0.0035415494661829,0.2629316231156553,2.8582960416608474,1.6054897672295436,1.583821151247493,c,,,,
base,True,0.3,13.0,A7,AP,T1,0.0049229963276759,0.0487984063627205,0.004466674944035,0.0034811014926071,0.2360680047079268,2.5491277893377933,1.574577134085551,1.5567881308100753,c,,,,
low,True,0.3,1.0,A1,AP,T1,0.0079916707297534,0.0753805972831256,0.0083765089515775,0.0056509928210534,0.0163375042817857,0.1245960854195881,2.5272283538542712,2.5271881816120985,d,,,,
low,True,0.3,3.0,A1,AP,T1,0.006408028717276,0.0599852386517184,0.0071446374618987,0.0045311832159967,0.0518829240294468,0.7480809313823077,2.027050561559152,2.026396605835952,d,,,,
low,True,0.3,5.0,A1,AP,T1,0.0059206127577846,0.0558115862875566,0.006496714930597,0.0041865263624932,0.0482419918070052,0.7831710746853402,1.872874202631444,1.872262145845044,d,,,,
low,True,0.3,7.0,A1,AP,T1,0.0056437076055328,0.0532067529415552,0.0060498941603294,0.0039907238725755,0.0440904909623846,0.8185014684406177,1.7852326665263154,1.7846970481498787,d,,,,
low,True,0.3,10.0,A1,AP,T1,0.0054287844977122,0.0513162540046363,0.0060037578336714,0.0038387495257283,0.0327100525486333,0.6701977531984821,1.717035406768509,1.7167323938983872,d,,,,
low,True,0.3,13.0,A1,AP,T1,0.0053172090703498,0.0500407883533207,0.0058511707081823,0.0037598533899449,0.0214988209882155,0.5536301717508822,1.6815781743269154,1.681449145761196,d,,,,
low,True,0.3,1.0,A2,AP,T1,0.0059969332287129,0.056440897522607,0.0057509041790308,0.0042404933548656,-0.2654185307436338,-2.4938478591603594,1.914871235414575,1.8963967978680465,d,,,,
low,True,0.3,3.0,A2,AP,T1,0.0053258138660758,0.0495842719012568,0.0051623665700375,0.0037659379297763,-0.2246337506772069,-1.802534188344702,1.6990765995853612,1.6841702210906653,d,,,,
low,True,0.3,5.0,A2,AP,T1,0.0051072050486156,0.0479648465521078,0.0049767433296565,0.0036113573796183,-0.2300157703208294,-1.787046228065969,1.6313293695368258,1.6150400431136505,d,,,,
low,True,0.3,7.0,A2,AP,T1,0.0050019813830457,0.0467520042318397,0.0048063275641929,0.0035369526401279,-0.2374420603681156,-1.7982936605378836,1.5994797553728988,1.5817653984183777,d,,,,
low,True,0.3,10.0,A2,AP,T1,0.0049465114404824,0.0463685314295877,0.0047384016921784,0.003497729271472,-0.246292293211381,-1.8900903267186595,1.5834875966682769,1.564224262400499,d,,,,
low,True,0.3,13.0,A2,AP,T1,0.0049037287748918,0.0460791800372998,0.0047192908811815,0.0034674772072549,-0.2561532382570625,-2.011885508677105,1.5717016334800538,1.5506951956365207,d,,,,
low,True,0.3,1.0,A3,AP,T1,0.0078358949514369,0.0705756230348722,0.010880053364925,0.0055408421611065,1.532744799600204,14.795456701132872,2.913652379479638,2.477927555235539,d,,,,
low,True,0.3,3.0,A3,AP,T1,0.0065259041898273,0.0594314557531245,0.0092318194611977,0.0046145341787292,1.0984874542082583,10.8610402942405,2.337814074965784,2.063672103189041,d,,,,
low,True,0.3,5.0,A3,AP,T1,0.0061440718758429,0.0564926397939016,0.0083720790754787,0.0043445366102434,0.9350638601786788,9.384146740188276,2.156216268036548,1.9429261235446968,d,,,,
