p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.1,True,inherited,mean2,loa_width,9.978338893939846,7.83287085341405,2.1454680405257966,0.02028142035574989
0.1,True,inherited,mean2,mae,2.02905845860311,1.6058745843262157,0.4231838742768945,0.0022892846749743767
0.1,True,inherited,single,icc,0.8404557562655646,0.9053511512607622,-0.06489539499519778,0.0003735704084854188
0.1,True,inherited,single,loa_width,10.408000681560662,7.83287085341405,2.5751298281466117,0.02134274438120987
0.1,True,inherited,single,mae,2.1156336818885704,1.6058745843262157,0.5097590975623543,0.0026344474652285096
0.15,False,independent,adj_tol1,icc,0.844583948110104,0.9087045392148263,-0.06412059110472247,0.00037120707361120255
0.15,False,independent,adj_tol1,loa_width,10.382186753759068,7.8140641402425235,2.568122613516545,0.021020388337409258
0.15,False,independent,adj_tol1,mae,2.117330818991568,1.5926547126268116,0.5246761063647568,0.0026376312858045685
0.15,False,independent,adj_tol2,icc,0.8480391066830009,0.9087045392148263,-0.06066543253182538,0.00035651586914993416
0.15,False,independent,adj_tol2,loa_width,10.24270190004476,7.8140641402425235,2.428637759802239,0.020631912062189516
0.15,False,independent,adj_tol2,mae,2.0884253302553435,1.5926547126268116,0.49577061762853203,0.0025189459522437715
0.15,False,independent,adj_tol3,icc,0.8498457669649203,0.9087045392148263,-0.058858772249906,0.000345644889344765
0.15,False,independent,adj_tol3,loa_width,10.170066490230113,7.8140641402425235,2.356002349987589,0.02017445963162897
0.15,False,independent,adj_tol3,mae,2.072757773391747,1.5926547126268116,0.4801030607649353,0.002428540981211854
0.15,False,independent,mean2,icc,0.8515387529625827,0.9087045392148263,-0.057165786252243604,0.00034066800651121266
0.15,False,independent,mean2,loa_width,10.096142718355495,7.8140641402425235,2.2820785781129715,0.019949075941789324
0.15,False,independent,mean2,mae,2.060003599468774,1.5926547126268116,0.46734888684196274,0.0023972317163248923
0.15,False,independent,single,icc,0.8398746980069041,0.9087045392148263,-0.06882984120792233,0.0003913103757062427
0.15,False,independent,single,loa_width,10.56874578365771,7.8140641402425235,2.7546816434151866,0.02094188790413993
0.15,False,independent,single,mae,2.1564544651081405,1.5926547126268116,0.563799752481329,0.002736784646263981
0.15,False,inherited,adj_tol1,icc,0.8437056809504969,0.905827658830887,-0.06212197788039015,0.0003656331842780678
0.15,False,inherited,adj_tol1,loa_width,10.380690391268388,7.819755313530102,2.5609350777382858,0.02104953093687351
0.15,False,inherited,adj_tol1,mae,2.108529382555427,1.6078644188397364,0.5006649637156907,0.0025812292098658304
0.15,False,inherited,adj_tol2,icc,0.8472047063249272,0.905827658830887,-0.058622952505959836,0.0003508592910828163
0.15,False,inherited,adj_tol2,loa_width,10.241467608749547,7.819755313530102,2.421712295219444,0.020661514251469518
0.15,False,inherited,adj_tol2,mae,2.0795237046882034,1.6078644188397364,0.4716592858484668,0.0024623231095640867
0.15,False,inherited,adj_tol3,icc,0.8490461175110572,0.905827658830887,-0.05678154131982988,0.0003403133674748406
0.15,False,inherited,adj_tol3,loa_width,10.16868791929921,7.819755313530102,2.3489326057691047,0.020202341560535318
0.15,False,inherited,adj_tol3,mae,2.063687924533894,1.6078644188397364,0.4558235056941575,0.002371602252791036
0.15,False,inherited,mean2,icc,0.8507641610214207,0.905827658830887,-0.055063497809466386,0.0003351372242249214
0.15,False,inherited,mean2,loa_width,10.094150053224212,7.819755313530102,2.2743947396941087,0.019968732817511804
