K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
2,0.05,False,0.0,10.0,AP,T2,A4,0.12101437729319041,0.004836451430977777,2.4/40,1.5309863047368608,0.006956342126541011,20/8,1.4099719274436704,0.008472423397452238,1.5309863047368608,0.006956342126541011,20/8,True,1.5128018397692995,2.6801007915272437,0.0098761108357143,20/8,0.47669344748779285
2,0.05,False,0.0,10.0,AP,T2,A5,-1.9111442781388626,0.006955550338506227,2.4/40,0.7049587346587001,0.005223962947271246,20/8,2.616103012797563,0.008698819999629662,1.9111442781388626,0.006955550338506227,2.4/40,True,1.47553890116884,2.913827744279303,0.008249681210717697,2.4/40,0.7960709607824978
2,0.05,False,0.0,10.0,AP,T2,A6,0.052631156046406405,0.005221252506883954,20/8,0.07178574088400651,0.005621178437648669,4.8/8,0.019154584837600103,0.007671970070883248,0.07178574088400651,0.005621178437648669,4.8/8,False,1.651935395580965,1.80836604363275,0.005013875684111608,2.4/20,0.06350788607337755
2,0.05,False,0.0,10.0,AP,T2,A7,0.3263929529040246,0.007204853212210923,2.4/40,2.2275552660527116,0.008039459674947297,20/8,1.901162313148687,0.010795500065981647,2.2275552660527116,0.008039459674947297,20/8,False,1.5708625064029318,3.794489641243176,0.012722748035726577,20/40,1.0721410733719592
2,0.05,False,0.0,10.0,SL,T1,A1,-1.345646149607242,0.005473579473029905,20/8,-0.12242173418375711,0.003922885637394331,2.4/8,1.223224415423485,0.006734174334812625,1.345646149607242,0.005473579473029905,20/8,False,1.2425444238351988,2.197823625269493,0.006819900423132568,20/40,0.6017221684040629
2,0.05,False,0.0,10.0,SL,T1,A2,-1.9881977972285583,0.005763938979626722,20/40,-0.32138071164898635,0.0036974783936113394,2.4/8,1.6668170855795719,0.006847944146390436,1.9881977972285583,0.005763938979626722,20/40,True,1.2126032069872679,2.6972572205850085,0.007215814805601423,20/40,1.0509903114813213
2,0.05,False,0.0,10.0,SL,T1,A3,-0.9619477699468159,0.005010971435441332,20/40,0.10136373953089953,0.003798239313837526,2.4/8,1.0633115094777155,0.006287802208402386,0.9619477699468159,0.005010971435441332,20/40,True,1.2039928465871443,1.8537264833172724,0.0058533880128286905,20/40,0.2884865039591826
2,0.05,False,0.0,10.0,SL,T1,A4,-0.9719033029675758,0.005042353756213136,20/40,0.10129466852790053,0.0037982604366564986,2.4/8,1.0731979714954762,0.006312853059232943,0.9719033029675758,0.005042353756213136,20/40,True,1.204218745420404,1.8673788435311012,0.005973378285652236,20/40,0.29399938179184243
2,0.05,False,0.0,10.0,SL,T1,A5,-1.9881977972285583,0.005763938979626722,20/40,-0.32138071164898635,0.0036974783936113394,2.4/8,1.6668170855795719,0.006847944146390436,1.9881977972285583,0.005763938979626722,20/40,True,1.2126032069872679,2.6972572205850085,0.007215814805601423,20/40,1.0509903114813213
2,0.05,False,0.0,10.0,SL,T1,A6,-1.3459217097910001,0.006116455397146075,20/8,-0.12087943467223758,0.004773836045890548,2.4/20,1.2250422751187626,0.007758900516073219,1.3459217097910001,0.006116455397146075,20/8,False,1.5144438277864511,2.3582322337023873,0.00686106647118369,20/40,0.6028858726183285
2,0.05,False,0.0,10.0,SL,T1,A7,0.040110838961359224,0.003885049549021592,10/8,0.05148286772365939,0.006954844863591497,20/40,0.011372028762300167,0.00796639674350819,0.05148286772365939,0.006954844863591497,20/40,False,1.2003098279393787,2.19990654880258,0.010480118652112095,20/40,0.0455534222891375
2,0.05,False,0.0,10.0,SL,T2,A1,0.03256626946999578,0.0036158665481773825,20/8,0.04833329487482107,0.0038449230883877733,4.8/8,0.01576702540482529,0.00527806067129259,0.04833329487482107,0.0038449230883877733,4.8/8,False,1.1438953522237603,1.2318151225861018,0.003130146995593893,2.4/8,0.04095025293571569
